name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Alekhine Defense, Brooklyn Variation, Everglades Variation","https://old.chesstempo.com/gamedb/opening/2796","black",1,"B02","1992","1850","-",0,0,1,"1.e4 Cf6 2.e5 Cg8 3.d4 f5"
"Alekhine Defense, Buckley Attack","https://old.chesstempo.com/gamedb/opening/3","white",5,"B03","02-12-2012","1907","2050",0,0,1,"1.e4 Cf6 2.e5 Cd5 3.Ca3"
"Alekhine Defense, The Squirrel","https://old.chesstempo.com/gamedb/opening/2890","black",13,"B02","27-11-2020","1647","1789",0.154,0,0.846,"1.e4 Cf6 2.e5 Cd5 3.c4 Cf4"
"Amar Opening, Gent Gambit","https://old.chesstempo.com/gamedb/opening/46","white",3,"A00","2012","2642","2260",1,0,0,"1.Ch3 d5 2.g3 e5 3.f4 Axh3 4.Axh3 exf4 5.O-O fxg3 6.hxg3"
"Amar Opening, Paris Gambit","https://old.chesstempo.com/gamedb/opening/47","white",4,"A00","09-09-2017","2088","1858",1,0,0,"1.Ch3 d5 2.g3 e5 3.f4"
"Amazon Attack","https://old.chesstempo.com/gamedb/opening/2737","white",16,"D00","07-12-2019","1705","1665",0.313,0,0.688,"1.d4 d5 2.Dd3"
"Barnes Opening, Walkerling","https://old.chesstempo.com/gamedb/opening/55","white",3,"A00","08-10-2015","1729","2042",0,0,1,"1.f3 e5 2.e4 Cf6 3.Ac4"
"Bishop's Opening, Anderssen Gambit","https://old.chesstempo.com/gamedb/opening/150","black",2,"C23","30-10-2007","2370","2268",0.5,0,0.5,"1.e4 e5 2.Ac4 b5 3.Axb5 c6"
"Bishop's Opening, Horwitz Gambit","https://old.chesstempo.com/gamedb/opening/158","black",3,"C23","03-11-2010","2420","2204",0.667,0,0.333,"1.e4 e5 2.Ac4 Cf6 3.Cc3 b5"
"Bishop's Opening, Khan Gambit","https://old.chesstempo.com/gamedb/opening/159","black",8,"C23","26-10-2018","1683","1929",0.25,0,0.75,"1.e4 e5 2.Ac4 d5"
"Bishop's Opening, Kitchener Folly","https://old.chesstempo.com/gamedb/opening/160","black",5,"C24","18-07-2019","1552","1626",0,0,1,"1.e4 e5 2.Ac4 Cf6 3.d3 Ae7 4.Cf3 O-O"
"Bishop's Opening, Lopez Variation, Lopez Gambit","https://old.chesstempo.com/gamedb/opening/166","white",5,"C23","11-07-2001","2220","2421",0.4,0,0.6,"1.e4 e5 2.Ac4 Ac5 3.De2 Cf6 4.f4"
"Bishop's Opening, MacDonnell Gambit, La Bourdonnais-Denker Gambit","https://old.chesstempo.com/gamedb/opening/168","white",8,"C23","16-07-2013","2116","2152",0.625,0,0.375,"1.e4 e5 2.Ac4 Ac5 3.b4 Axb4 4.c3"
"Bishop's Opening, Thorold Gambit","https://old.chesstempo.com/gamedb/opening/173","black",4,"C23","1992","2107","2363",0.25,0,0.75,"1.e4 e5 2.Ac4 b5 3.Axb5 f5"
"Blackmar-Diemer Gambit, Bogoljubow Defense, Mad Dog Attack","https://old.chesstempo.com/gamedb/opening/179","white",3,"D00","09-07-2015","2453","2147",0.667,0,0.333,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.f3 exf3 5.Cxf3 g6 6.Ac4 Ag7 7.h4"
"Blackmar-Diemer Gambit, Bogoljubow Variation, Kloss Attack","https://old.chesstempo.com/gamedb/opening/181","white",4,"D00","1993","2318","2298",0.5,0,0.5,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.f3 exf3 5.Cxf3 g6 6.Ac4 Ag7 7.O-O O-O 8.Rh1"
"Blackmar-Diemer Gambit, Bogoljubow Variation, Nimzowitsch Attack","https://old.chesstempo.com/gamedb/opening/182","white",12,"D00","13-10-2018","2428","2251",0.75,0,0.25,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.f3 exf3 5.Cxf3 g6 6.Ac4 Ag7 7.Ce5"
"Blackmar-Diemer Gambit, Kaulich Defense","https://old.chesstempo.com/gamedb/opening/197","black",2,"D00","1979","2280","2245",0.5,0,0.5,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.f3 exf3 5.Cxf3 c5"
"Blackmar-Diemer Gambit, Ritter Defense","https://old.chesstempo.com/gamedb/opening/205","black",3,"D00","12-08-2000","1822","1675",0,0,1,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.f3 exf3 5.Cxf3 b6"
"Blackmar-Diemer Gambit, Von Popiel Gambit, Zilbermints Variation","https://old.chesstempo.com/gamedb/opening/214","white",1,"D00","1992","2710","-",1,0,0,"1.d4 d5 2.e4 dxe4 3.Cc3 Cf6 4.Ag5 Af5 5.Axf6 exf6 6.g4 Ag6 7.De2 Ab4 8.Db5+"
"Blackmar-Diemer Gambit, Zeller Defense, Soller Attack","https://old.chesstempo.com/gamedb/opening/216","white",9,"D00","27-08-2016","1958","2160",0.444,0,0.556,"1.d4 d5 2.e4 dxe4 3.Cc3 Af5 4.f3 Cf6 5.Ac4"
"Borg Opening, Zilbermints Gambit","https://old.chesstempo.com/gamedb/opening/230","black",1,"B00","29-12-2010","1938","1466",1,0,0,"1.e4 g5 2.d4 e5"
"Caro-Kann Defense, Spike Variation","https://old.chesstempo.com/gamedb/opening/2901","white",1,"B10","1969","2760","2295",1,0,0,"1.e4 c6 2.g4"
"Center Game, Lanc-Arnold Gambit","https://old.chesstempo.com/gamedb/opening/333","white",7,"C21","15-08-2016","2421","2230",0.714,0,0.286,"1.e4 e5 2.d4 exd4 3.Cf3 Ac5 4.c3"
"Center Game, Lanc-Arnold Gambit, Schippler Gambit","https://old.chesstempo.com/gamedb/opening/334","white",5,"C21","03-08-2013","1907","1807",0.6,0,0.4,"1.e4 e5 2.d4 exd4 3.Cf3 Ac5 4.c3 dxc3 5.Ac4"
"Danish Gambit, Accepted, Chigorin Defense","https://old.chesstempo.com/gamedb/opening/344","black",4,"C21","02-02-2018","2390","2215",0.75,0,0.25,"1.e4 e5 2.d4 exd4 3.c3 dxc3 4.Ac4 cxb2 5.Axb2 De7"
"Dutch Defense, Krause Variation","https://old.chesstempo.com/gamedb/opening/377","black",4,"A84","26-01-2019","2317","1898",0.5,0,0.5,"1.d4 f5 2.c4 Cf6 3.Cc3 d6 4.Cf3 Cc6"
"Dutch Defense, Omega-Isis Gambit","https://old.chesstempo.com/gamedb/opening/2889","black",1,"A80","31-07-2007","1144","-",0,0,1,"1.d4 f5 2.Cf3 e5"
"Dutch Defense, Senechaud Gambit","https://old.chesstempo.com/gamedb/opening/396","white",7,"A80","27-08-2019","2089","2155",0.571,0,0.429,"1.d4 e6 2.Af4 f5 3.g4"
"Dutch Defense, Staunton Gambit, American Attack","https://old.chesstempo.com/gamedb/opening/399","white",2,"A82","1955-08","2585","2526",0.5,0,0.5,"1.d4 f5 2.e4 fxe4 3.Cd2"
"Elephant Gambit, Wasp Variation","https://old.chesstempo.com/gamedb/opening/414","black",18,"C40","04-01-2018","1778","1882",0.278,0,0.722,"1.e4 e5 2.Cf3 d5 3.Cxe5 dxe4 4.Ac4 Dg5"
"English Defense, Hartlaub Gambit, Accepted","https://old.chesstempo.com/gamedb/opening/417","black",1,"A40","1921","2850","-",1,0,0,"1.c4 e6 2.d4 b6 3.Cc3 Ab7 4.e4 f5 5.exf5 Cf6"
"English Opening, Anglo-Dutch Variation, Chabanon Gambit","https://old.chesstempo.com/gamedb/opening/434","white",1,"A10","1993","2580","2425",1,0,0,"1.c4 f5 2.Cf3 d6 3.e4"
"English Opening, Anglo-Scandinavian Defense, LÃ¶hn Gambit","https://old.chesstempo.com/gamedb/opening/455","black",3,"A10","05-05-2013","1547","1695",0,0,1,"1.c4 d5 2.cxd5 e6"
"English Opening, King's English, Erbenheimer Gambit","https://old.chesstempo.com/gamedb/opening/467","black",1,"A22","14-03-1997","2960","-",1,0,0,"1.c4 e5 2.Cc3 Cf6 3.Cf3 e4 4.Cg5 Cg4"
"English Opening, UNNAMED Gambit","https://old.chesstempo.com/gamedb/opening/2886","white",1,"A10","25-08-1999","-","2130",1,0,0,"1.c4 Cf6 2.g4"
"English Rat, Pounds Gambit","https://old.chesstempo.com/gamedb/opening/2946","black",1,"A41","1996","2895","2415",1,0,0,"1.d4 d6 2.c4 e5 3.dxe5 Ae6"
"Englund Gambit Complex, Declined, Diemer Counterattack","https://old.chesstempo.com/gamedb/opening/534","black",2,"A40","23-07-2005","-","2400",1,0,0,"1.d4 e5 2.d5 Ac5 3.e4 Dh4"
"Englund Gambit Complex, Felbecker Gambit","https://old.chesstempo.com/gamedb/opening/536","black",14,"A40","10-05-2018","1997","1900",0.571,0,0.429,"1.d4 e5 2.dxe5 Cc6 3.Cf3 Ac5"
"Englund Gambit, Declined, Reversed Mokele Mbembe","https://old.chesstempo.com/gamedb/opening/2959","white",1,"A40","10-11-2019","2701","2506",1,0,0,"1.d4 e5 2.Cf3 e4 3.Ce5"
"French Defense, Banzai-Leong Gambit","https://old.chesstempo.com/gamedb/opening/604","white",2,"C00","07-07-2014","1761","1999",0,0,1,"1.e4 e6 2.b4"
"French Defense, Franco-Hiva Gambit II","https://old.chesstempo.com/gamedb/opening/2715","black",6,"C00","10-03-2018","1556","1697",0,0,1,"1.e4 e6 2.Cf3 f5"
"French Defense, Guimard Variation, Thunderbunny Variation","https://old.chesstempo.com/gamedb/opening/743","black",6,"C03","28-02-2017","2368","2205",0.833,0,0.167,"1.e4 e6 2.d4 d5 3.Cd2 Cc6 4.c3 dxe4 5.Cxe4 e5"
"French Defense, Morphy Gambit","https://old.chesstempo.com/gamedb/opening/652","white",2,"C01","02-08-2019","1442","1655",0,0,1,"1.e4 e6 2.d4 d5 3.Ch3"
"Goldsmith Defense, General","https://old.chesstempo.com/gamedb/opening/727","black",17,"B00","19-11-2019","2077","2066",0.471,0,0.529,"1.e4 h5"
"Grob Opening, Double Grob","https://old.chesstempo.com/gamedb/opening/731","black",3,"A00","03-09-2019","2830","2499",1,0,0,"1.g4 g5"
"Grob Opening, Grob Gambit, Fritz Gambit, Romford Countergambit","https://old.chesstempo.com/gamedb/opening/737","black",2,"A00","27-12-2018","2784","2474",1,0,0,"1.g4 d5 2.Ag2 Axg4 3.c4 d4 4.Axb7 Cd7 5.Axa8 Dxa8"
"Horwitz Defense, Zilbermints Gambit","https://old.chesstempo.com/gamedb/opening/802","black",1,"A40","09-11-2013","2177","2068",0,0,1,"1.c4 e6 2.d4 e5"
"Hungarian Opening, Reversed Norwegian Defense","https://old.chesstempo.com/gamedb/opening/2800","white",3,"A00","29-10-2018","2515","2540",0.667,0,0.333,"1.g3 e5 2.Cf3 e4 3.Ch4"
"Indian Game, x","https://old.chesstempo.com/gamedb/opening/2902","white",1,"E10","30-11-2019","1622","2069",0,0,1,"1.d4 Cf6 2.c4 e6 3.Db3"
"Indian Game, Omega Gambit, Arafat Gambit","https://old.chesstempo.com/gamedb/opening/841","white",3,"A45","22-09-2008","1920","2205",0.333,0,0.667,"1.d4 Cf6 2.e4 Cxe4 3.Ad3 Cf6 4.Ag5"
"Italian Game, Evans Gambit, Compromised Defense, Main Line","https://old.chesstempo.com/gamedb/opening/884","white",13,"C52","1986","2643","2499",0.615,0,0.385,"1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5 4.b4 Axb4 5.c3 Aa5 6.d4 exd4 7.O-O dxc3 8.Db3 Df6 9.e5 Dg6 10.Cxc3 Cge7 11.Aa3"
"Italian Game, Evans Gambit, Fontaine Countergambit","https://old.chesstempo.com/gamedb/opening/2930","black",2,"C51","16-11-2014","1429","1464",0,0,1,"1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5 4.b4 b5"
"Italian Game, Evans Gambit, Laroche Variation","https://old.chesstempo.com/gamedb/opening/2924","black",7,"C52","28-07-2018","1858","1851",0.286,0,0.714,"1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5 4.b4 Axb4 5.c3 Aa5 6.d4 Cf6"
"Italian Game, Evans Gambit, Mortimer-Evans Gambit","https://old.chesstempo.com/gamedb/opening/894","black",5,"C51","1865","2159","2615",0,0,1,"1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5 4.b4 Axb4 5.c3 Ac5 6.d4 exd4 7.O-O d6 8.cxd4 Ab6 9.Cc3 Ag4 10.Da4 Ad7 11.Db3 Ca5 12.Axf7+ Rf8 13.Dc2 Rxf7"
"Italian Game, Giuoco Pianissimo, Lucchini Gambit","https://old.chesstempo.com/gamedb/opening/906","black",3,"C50","28-04-2018","1474","1646",0.333,0,0.667,"1.e4 e5 2.Cf3 Cc6 3.Ac4 Ac5 4.d3 f5"
"Kadas Opening, Kadas Gambit #2","https://old.chesstempo.com/gamedb/opening/953","white",1,"A00","1994","2775","2280",1,0,0,"1.h4 d5 2.d4 c5 3.Cf3 cxd4 4.c3"
"King Pawn Game, Busch-Gass Gambit, Chiodini Gambit","https://old.chesstempo.com/gamedb/opening/2702","black",2,"C40","29-01-2020","1851","1587",0,0,1,"1.e4 e5 2.Cf3 Ac5 3.Cxe5 Cc6"
"King Pawn Game, Clam Variation, Radisch Gambit","https://old.chesstempo.com/gamedb/opening/964","black",7,"C20","31-12-2017","2435","2181",0.857,0,0.143,"1.e4 e5 2.d3 Cf6 3.f4 Ac5"
"King Pawn Game, Damiano Defense, Damiano Gambit","https://old.chesstempo.com/gamedb/opening/967","white",6,"C20","17-11-2017","1835","1882",0.833,0,0.167,"1.e4 e5 2.Cf3 f6 3.Cxe5 fxe5 4.Dh5+ g6 5.Dxe5+ De7 6.Dxh8"
"King Pawn Game, King's Head Opening","https://old.chesstempo.com/gamedb/opening/973","white",2,"C20","24-07-2017","1805","2038",0,0,1,"1.e4 e5 2.f3 Cf6 3.Cc3"
"King Pawn Game, Macleod Attack, Lasa Gambit","https://old.chesstempo.com/gamedb/opening/978","black",1,"C20","1995-06","2100","2200",0,0,1,"1.e4 e5 2.c3 f5"
"King Pawn Game, Macleod Attack, Norwalder Gambit","https://old.chesstempo.com/gamedb/opening/979","black",1,"C20","1993","-","-",1,0,0,"1.e4 e5 2.c3 d5 3.Dh5 Ad6"
"King Pawn Game, Paschman Wing Gambit","https://old.chesstempo.com/gamedb/opening/983","white",1,"C44","08-04-2019","1367","1596",0,0,1,"1.e4 e5 2.Cf3 Cc6 3.b4"
"King Pawn Game, Schulze-Muller Gambit","https://old.chesstempo.com/gamedb/opening/985","white",1,"C40","1899","3030","-",1,0,0,"1.e4 e5 2.Cf3 Cc6 3.Cxe5 Cxe5 4.d4"
"King Pawn Game, Tortise Opening","https://old.chesstempo.com/gamedb/opening/989","white",6,"C20","15-03-2014","1572","1719",0.167,0,0.833,"1.e4 e5 2.Ad3"
"King's Gambit, Accepted, Allgaier Gambit, Thorold Attack","https://old.chesstempo.com/gamedb/opening/996","white",19,"C39","23-07-2015","2329","2471",0.421,0,0.579,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.h4 g4 5.Cg5 h6 6.Cxf7 Rxf7 7.d4"
"King's Gambit, Accepted, Bishop's Gambit, see, Jaenisch Variation","https://old.chesstempo.com/gamedb/opening/1018","black",1,"C33","23-02-2016","1264","1643",0,0,1,"1.e4 e5 2.f4 exf4 3.Ac4 Dh4+ 4.Rf1 Df6"
"King's Gambit, Accepted, Double Muzio Gambit, Bello Gambit","https://old.chesstempo.com/gamedb/opening/2759","white",1,"C37","11-04-2001","2006","2063",0,0,1,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 g4 5.O-O gxf3 6.Dxf3 Df6 7.Cc3"
"King's Gambit, Accepted, Fischer Defense, Spanish Variation","https://old.chesstempo.com/gamedb/opening/2851","white",5,"C34","30-07-2014","1987","1903",0.8,0,0.2,"1.e4 e5 2.f4 exf4 3.Cf3 d6 4.d4 Cf6 5.Ad3"
"King's Gambit, Accepted, Greco Gambit, Calabrese Gambit","https://old.chesstempo.com/gamedb/opening/1037","white",1,"C38","1900","2440","2520",1,0,0,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 Ag7 5.h4 h6 6.d4 d6 7.hxg5 hxg5 8.Txh8 Axh8 9.Cc3 c6 10.Ce5"
"King's Gambit, Accepted, Kieseritsky Gambit, Anderssen-Cordel Gambit","https://old.chesstempo.com/gamedb/opening/1040","black",2,"C39","24-08-2017","1832","1809",0.5,0,0.5,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.h4 g4 5.Ce5 Cf6 6.Ac4 d5 7.exd5 Ad6 8.d4 Ch5 9.Axf4 Cxf4"
"King's Gambit, Accepted, Lolli Gambit","https://old.chesstempo.com/gamedb/opening/1057","white",2,"C37","04-11-2019","1801","1713",0.5,0,0.5,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 g4 5.Axf7+"
"King's Gambit, Accepted, Middleton Countergambit","https://old.chesstempo.com/gamedb/opening/1062","black",1,"C37","1985","-","-",1,0,0,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 d6 5.O-O Ag4 6.h3 h5 7.hxg4 hxg4"
"King's Gambit, Accepted, Philidor Gambit","https://old.chesstempo.com/gamedb/opening/1070","white",14,"C38","20-10-2019","1984","2079",0.357,0,0.643,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 Ag7 5.h4"
"King's Gambit, Accepted, Rosentreter Gambit, Soerensen Gambit","https://old.chesstempo.com/gamedb/opening/1076","white",1,"C37","12-12-2011","2059","2318",0,0,1,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.d4 g4 5.Cc3"
"King's Gambit, Accepted, Salvio Gambit","https://old.chesstempo.com/gamedb/opening/1078","white",3,"C37","31-08-2014","1935","1922",0.667,0,0.333,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 g4 5.Ce5"
"King's Gambit, Accepted, Salvio Gambit, Santa Maria Defense","https://old.chesstempo.com/gamedb/opening/1080","black",1,"C37","28-07-2018","2081","1844",1,0,0,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 g4 5.Ce5 Dh4+ 6.Rf1 Cf6"
"King's Gambit, Accepted, Salvio Gambit, Viennese Variation","https://old.chesstempo.com/gamedb/opening/1082","black",6,"C37","13-09-2008","2295","2232",0.667,0,0.333,"1.e4 e5 2.f4 exf4 3.Cf3 g5 4.Ac4 g4 5.Ce5 Dh4+ 6.Rf1 Cc6"
"King's Gambit, Accepted, Stamma Gambit","https://old.chesstempo.com/gamedb/opening/1086","white",5,"C33","01-10-2017","1941","2014",0.2,0,0.8,"1.e4 e5 2.f4 exf4 3.h4"
"King's Gambit, Declined, Soller-Zilbermints Gambit","https://old.chesstempo.com/gamedb/opening/1106","black",3,"C30","27-06-2008","-","2270",0,0,1,"1.e4 e5 2.f4 f6 3.fxe5 Cc6"
"King's Gambit, Panteldakis Countergambit","https://old.chesstempo.com/gamedb/opening/1123","black",8,"C30","24-02-2018","1758","1769",0.25,0,0.75,"1.e4 e5 2.f4 f5"
"King's Gambit, Panteldakis Countergambit, Shirazi Line","https://old.chesstempo.com/gamedb/opening/2855","black",1,"C30","15-12-2018","1280","1576",0,0,1,"1.e4 e5 2.f4 f5 3.exf5 exf4 4.Dh5+ Re7"
"King's Indian Attack, Omega-Delta Gambit","https://old.chesstempo.com/gamedb/opening/1127","black",2,"A07","06-02-2017","1962","1836",1,0,0,"1.Cf3 d5 2.g3 e5"
"Latvian Gambit, Accepted, Foltys-Leonhardt Variation","https://old.chesstempo.com/gamedb/opening/1250","white",17,"C40","07-03-2017","2074","2063",0.706,0,0.294,"1.e4 e5 2.Cf3 f5 3.Cxe5 Df6 4.Cc4"
"Latvian Gambit, Corkscrew Gambit","https://old.chesstempo.com/gamedb/opening/1255","black",3,"C40","1991","-","2260",0.333,0,0.667,"1.e4 e5 2.Cf3 f5 3.Cxe5 Cf6 4.Ac4 fxe4 5.Cf7 De7 6.Cxh8 d5"
"Latvian Gambit, Mayet Attack, Morgado Defense","https://old.chesstempo.com/gamedb/opening/1263","black",4,"C40","1996","2146","2091",0.25,0,0.75,"1.e4 e5 2.Cf3 f5 3.Ac4 Cf6"
"Mieses Opening, Myers Spike Attack","https://old.chesstempo.com/gamedb/opening/1285","white",1,"A00","1983","1850","-",0,0,1,"1.d3 g6 2.g4"
"Mikenas Defense, Cannstatter Variation","https://old.chesstempo.com/gamedb/opening/1277","black",5,"A40","28-06-2018","1312","1610",0,0,1,"1.d4 Cc6 2.c4 e5 3.d5 Cd4"
"Mikenas Defense, Pozarek Gambit","https://old.chesstempo.com/gamedb/opening/1279","black",1,"A40","1997","1855","2200",0,0,1,"1.d4 Cc6 2.c4 e5 3.dxe5 Cxe5 4.Cc3 Cxc4"
"Modern Defense, Bishop Attack, BÃ¼cker Gambit","https://old.chesstempo.com/gamedb/opening/1293","black",4,"B06","1994","2215","2236",0.5,0,0.5,"1.e4 g6 2.d4 Ag7 3.Ac4 b5"
"Modern Defense, Fianchetto Gambit","https://old.chesstempo.com/gamedb/opening/1295","black",1,"B06","2012","1713","2119",0,0,1,"1.e4 g6 2.d4 f5"
"Modern Defense, Wind Gambit","https://old.chesstempo.com/gamedb/opening/1325","white",5,"B06","30-12-2019","1962","2245",0.2,0,0.8,"1.e4 g6 2.d4 Ag7 3.Ad3"
"Nimzowitsch Defense, El Columpio Defense, El Columpio Gambit","https://old.chesstempo.com/gamedb/opening/1429","white",8,"B00","23-09-2017","2094","2221",0.5,0,0.5,"1.e4 Cc6 2.Cf3 Cf6 3.e5 Cg4 4.d4 d6 5.h3 Ch6 6.e6"
"Nimzowitsch Defense, Franco-Hiva Gambit 1","https://old.chesstempo.com/gamedb/opening/2754","black",1,"B00","17-10-2010","1707","1784",0,0,1,"1.e4 Cc6 2.d4 e6 3.Cf3 f5 4.exf5 Cf6"
"Nimzowitsch Defense, Neo-Mongoloid Defense","https://old.chesstempo.com/gamedb/opening/1449","black",1,"B00","21-07-2013","1122","1463",0,0,1,"1.e4 Cc6 2.d4 f6"
"Nimzowitsch Defense, Scandinavian Variation, Aachen Gambit","https://old.chesstempo.com/gamedb/opening/1453","black",2,"B00","15-12-2015","2090","2196",0.5,0,0.5,"1.e4 Cc6 2.d4 d5 3.exd5 Cb4"
"Nimzowitsch Defense, Wheeler Gambit","https://old.chesstempo.com/gamedb/opening/1464","white",2,"B00","09-12-2017","2115","1836",0.5,0,0.5,"1.e4 Cc6 2.b4"
"Owen Defense, Naselwaus Gambit","https://old.chesstempo.com/gamedb/opening/1478","white",3,"B00","24-07-2008","2696","2261",1,0,0,"1.e4 b6 2.d4 Ab7 3.Ag5"
"Owen Defense, Wind Gambit","https://old.chesstempo.com/gamedb/opening/1480","black",3,"B00","03-11-2018","1973","2167",0.333,0,0.667,"1.e4 b6 2.d4 Ab7 3.f3 e5"
"Philidor Defense, Philidor Gambit","https://old.chesstempo.com/gamedb/opening/1514","black",4,"C41","25-10-2018","1360","1277",0.25,0,0.75,"1.e4 e5 2.Cf3 d6 3.d4 Ad7"
"Polish Opening, Karniewski Variation","https://old.chesstempo.com/gamedb/opening/1545","black",3,"A00","1990","-","2255",0.333,0,0.667,"1.b4 Ch6"
"Polish Opening, Myers Variation","https://old.chesstempo.com/gamedb/opening/2772","white",3,"A00","31-08-2014","1382","1663",0.333,0,0.667,"1.b4 d5 2.Ab2 c6 3.a4"
"Polish Opening, Tartakower Gambit, Brinckmann Variation","https://old.chesstempo.com/gamedb/opening/1551","black",2,"A00","1991","-","-",1,0,0,"1.b4 e5 2.Ab2 f6 3.e4 Axb4 4.Ac4 Cc6 5.f4 De7 6.f5 g6"
"Pterodactyl Defense, Austrian, Pteronodon","https://old.chesstempo.com/gamedb/opening/2806","black",6,"B06","24-06-2018","2377","2210",1,0,0,"1.e4 g6 2.d4 Ag7 3.f4 c5 4.c3 Da5"
"Pterodactyl Defense, Central, Quetzalcoatlus Gambit","https://old.chesstempo.com/gamedb/opening/558","black",2,"B06","24-10-2008","1966","2032",0.5,0,0.5,"1.e4 g6 2.d4 Ag7 3.c4 c5 4.Cc3 d6 5.dxc5 Da5"
"Pterodactyl Defense, Eastern, Benoni, Pterodactyl","https://old.chesstempo.com/gamedb/opening/269","black",1,"B06","1992","1820","2295",0,0,1,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.d5 Da5"
"Pterodactyl Defense, Eastern, Benoni, Pteronodon","https://old.chesstempo.com/gamedb/opening/351","black",1,"B06","11-12-2009","2016","2292",0,0,1,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.d5 Axc3+ 5.bxc3 Da5"
"Pterodactyl Defense, Sicilian, Quetzalcoatlus","https://old.chesstempo.com/gamedb/opening/33","black",1,"B06","1981-12","2040","2210",0,0,1,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.Cf3 Da5 5.Ae2 d6"
"Pterodactyl Defense, Sicilian, Siroccopteryx","https://old.chesstempo.com/gamedb/opening/48","white",9,"B06","01-07-2016","1978","2185",0.222,0,0.778,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.Cf3 Da5 5.Ac4"
"Pterodactyl Defense, Western, Anhanguera","https://old.chesstempo.com/gamedb/opening/354","black",1,"B06","22-08-2012","1978","1761",1,0,0,"1.e4 g6 2.d4 Ag7 3.Cf3 c5 4.Ae3 Da5+"
"Queen Pawn Game, Zilbermints Countergambit","https://old.chesstempo.com/gamedb/opening/1616","black",1,"D02","30-01-2018","1987","1429",1,0,0,"1.d4 d5 2.Cf3 Cf6 3.c4 b5"
"Queen Pawn Game, Zurich Gambit","https://old.chesstempo.com/gamedb/opening/1619","white",1,"D00","03-10-2002","2755","2580",1,0,0,"1.d4 d5 2.g4"
"Queen's Gambit Declined, Charousek (Petrosian) Variation, Miladinovic Gambit","https://old.chesstempo.com/gamedb/opening/2733","white",1,"D31","13-01-2017","1592","1906",0,0,1,"1.d4 d5 2.c4 e6 3.Cc3 Ae7 4.e4 dxe4 5.f3"
"Queen's Gambit Refused, Austrian Defense, Haberditz Variation","https://old.chesstempo.com/gamedb/opening/1774","black",5,"D06","24-11-2009","2355","2263",0.6,0,0.4,"1.d4 d5 2.c4 c5 3.cxd5 Cf6 4.e4 Cxe4 5.dxc5 Da5+"
"Queen's Gambit Refused, Zilbermints Gambit","https://old.chesstempo.com/gamedb/opening/1794","black",1,"D06","20-02-2012","1082","1541",0,0,1,"1.d4 d5 2.c4 b5"
"Rat Defense, Petruccioli Attack","https://old.chesstempo.com/gamedb/opening/2941","white",3,"B07","09-02-2014","2159","2053",0.667,0,0.333,"1.e4 d6 2.h4"
"Rat Defense, Spike Attack","https://old.chesstempo.com/gamedb/opening/2940","white",1,"B06","28-03-2021","2134","-",1,0,0,"1.e4 d6 2.g4"
"Russian Game, Moody Gambit","https://old.chesstempo.com/gamedb/opening/1880","white",2,"C42","21-12-2017","2146","2305",1,0,0,"1.e4 e5 2.Cf3 Cf6 3.De2 Cc6 4.d4"
"Scandinavian Defense, Kadas Gambit","https://old.chesstempo.com/gamedb/opening/1899","black",3,"B01","28-01-2017","2166","1983",1,0,0,"1.e4 d5 2.exd5 Cf6 3.d4 c6 4.dxc6 e5"
"Scotch Game, Alekhine Gambit","https://old.chesstempo.com/gamedb/opening/1921","white",5,"C45","24-09-2015","2315","2103",0.8,0,0.2,"1.e4 e5 2.Cf3 Cc6 3.d4 exd4 4.Cxd4 Cf6 5.e5"
"Scotch Game, Horwitz Attack, MacDonell Vatiation Variation","https://old.chesstempo.com/gamedb/opening/2748","white",3,"C45","1874","2758","2410",0.667,0,0.333,"1.e4 e5 2.Cf3 Cc6 3.d4 exd4 4.Cxd4 Dh4 5.Cb5 Ab4+ 6.Ad2 Dxe4+ 7.Ae2 Rd8 8.O-O Axd2 9.Cxd2 Df4 10.a4"
