name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Old Line","https://old.chesstempo.com/gamedb/opening/2083","black",3318,"B78","19-01-2021","2105","2124",0.328,0.219,0.453,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 g6 6.Ae3 Ag7 7.f3 O-O 8.Dd2 Cc6 9.Ac4 Ad7 10.O-O-O Tc8"
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Soltis Variation","https://old.chesstempo.com/gamedb/opening/2085","black",45,"B79","08-12-2019","2206","2202",0.4,0.178,0.422,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 g6 6.Ae3 Ag7 7.f3 O-O 8.Dd2 Cc6 9.Ac4 Ad7 10.O-O-O Da5 11.Ab3 Tfc8 12.h4 h5"
"Sicilian Defense, Dragon Variation, Yugoslav Attack, Sosonko Variation","https://old.chesstempo.com/gamedb/opening/2086","black",580,"B77","06-12-2020","2127","2170",0.328,0.214,0.459,"1.e4 c5 2.Cf3 d6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 g6 6.Ae3 Ag7 7.f3 O-O 8.Dd2 Cc6 9.Ac4 Cd7"
"Sicilian Defense, Drazic Variation","https://old.chesstempo.com/gamedb/opening/1912","black",153,"B40","14-11-2020","2090","2106",0.373,0.222,0.405,"1.e4 c5 2.Cf3 e6 3.d4 a6"
"Sicilian Defense, Flohr Variation","https://old.chesstempo.com/gamedb/opening/2087","black",813,"B32","25-02-2021","2296","2312",0.389,0.29,0.321,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Dc7"
"Sicilian Defense, Four Knights Variation","https://old.chesstempo.com/gamedb/opening/2088","black",7503,"B45","10-03-2021","2127","2147",0.306,0.314,0.38,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 Cc6"
"Sicilian Defense, Four Knights Variation, Cobra Variation","https://old.chesstempo.com/gamedb/opening/2089","black",579,"B45","06-03-2021","2265","2304",0.321,0.349,0.33,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 Cc6 6.Cdb5 Ac5"
"Sicilian Defense, Franco-Scilian Variation","https://old.chesstempo.com/gamedb/opening/2753","black",180,"B32","02-11-2020","1556","1539",0.222,0.033,0.744,"1.e4 c5 2.Cf3 Cc6 3.d4 e6"
"Sicilian Defense, French Variation","https://old.chesstempo.com/gamedb/opening/2091","black",17530,"B40","28-03-2021","2224","2247",0.358,0.283,0.359,"1.e4 c5 2.Cf3 e6"
"Sicilian Defense, French Variation, Normal","https://old.chesstempo.com/gamedb/opening/2092","black",3528,"B40","27-03-2021","2100","2129",0.393,0.255,0.352,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Cf6"
